tokens_tags,frequency
फ़ाटा_JJ,1
जेसन_XC,7
जॉर्डन_XC,2
सेगल_NNP,2
अंग्रेज़ी_JJ,222
अमरिकी_JJ,8
अभिनेता_NN,213
जॉन_XC,59
नेपियर_NNP,1
1550_QC,2
1617_QC,1
स्कॉटिस_NN,1
गणितज्ञ_NN,18
मकुंदपुर_NNP,1
सुलतानगंज_NN,20
गौरीगंज_NNP,4
अंतर्गत_PSP,87
भवन_XC,6
शाहपुर_NNP,4
पास_NST,163
दुर्गा_JJ,14
भवानी_NN,3
दिव्य_JJ,7
सुप्रसिद्ध_JJ,20
1_QC,464
बार_RP,254
नवरात्रि_NN,3
मेले_NN,12
लगते_VM,13
इन्होंने_PRP,337
2014_QC,270
खेलों_NN,61
77_QC,11
किलोग्राम_NN,11
वर्ग_NN,82
स्वर्ण_XC,30
पदक_NN,48
जीता_VM,165
ग्लेसगो_VM,1
स्कॉटलैंड_NNP,33
रॆड्डिगूडॆं_NN,1
ऐसा_PRP,39
माना_VM,190
1500_QC,9
ईसापूर्व_NN,8
आसपास_NST,51
आर्यों_NN,4
आगमन_NN,14
उत्तरी_JJ,134
क्षेत्रों_NN,121
मार्फ़त_NN,1
हुआ_VM,543
उनके_PRP,342
अतिरिक्त_JJ,25
बैंक_NN,79
अन्य_JJ,373
तीन_QC,198
मैनेजिंग_XC,1
डायरेक्टर_XC,5
हेमंत_XC,2
कान्ट्रैक्टर_XC,1
ए_XC,62
कृष्णकुमार_NNP,1
व_CC,547
एस_XC,58
विश्वनाथन_NN,1
इस_DEM,1426
पद_NN,139
उम्मीदवार_NN,46
बिझुआ_XC,1
डुमरिया_NNP,6
चुनावों_NN,157
सलेमपुर_JJ,1
सीट_NN,143
टिकट_NN,30
चुनाव_XC,11
लड़कर_NNP,11
निर्वाचित_JJ,105
परेतीपुर_XC,1
इलाहाबाद_XC,71
हंडिया_JJ,69
प्रखण्ड_NN,86
बोले_VM,11
वाली_PSP,300
पंजाबी_JJ,19
जबकि_CC,88
प्रायः_RB,21
जगह_NN,109
समझी_VM,19
